[2023-10-08 21:20:49,894] *eet_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -1071 > -1077, VW_68_M_Chr en WO_16_V_Lie zijn hiervoor gewisseld.
[2023-10-08 21:20:50,003] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1059 > -1071, VW_51 en WO_21 zijn hiervoor gewisseld.
[2023-10-08 21:20:50,262] *kook_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -1051 > -1059, WO_20 en WO_27 zijn hiervoor gewisseld.
[2023-10-08 21:20:50,778] *eet_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -1045 > -1051, VW_6_V_Len en VW_72_M_Pie zijn hiervoor gewisseld.
[2023-10-08 21:20:51,001] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -1020 > -1045, VW_15_M_Ger en VW_23_M_Lar zijn hiervoor gewisseld.
[2023-10-08 21:20:51,102] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1019 > -1020, WO_32a_V_Gem en WO_77_V_Maa zijn hiervoor gewisseld.
[2023-10-08 21:20:51,237] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1017 > -1019, VW_32 en VW_5 zijn hiervoor gewisseld.
[2023-10-08 21:20:51,372] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1005 > -1017, WO_13 en WO_45 zijn hiervoor gewisseld.
[2023-10-08 21:20:51,820] *eet_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -994 > -1005, VW_62_M_Rob en WO_32_V_Ing zijn hiervoor gewisseld.
[2023-10-08 21:20:51,885] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -988 > -994, WO_1_M_And en WO_27_M_Dan zijn hiervoor gewisseld.
[2023-10-08 21:20:51,943] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -985 > -988, WO_24_V_Jea en WO_41_M_Wim zijn hiervoor gewisseld.
[2023-10-08 21:20:53,029] *eet_gang_optimizer* Bij iteratie: 26, Nieuwe oplossing score van: -967 > -985, VW_46_V_Jor en WO_16_V_Lie zijn hiervoor gewisseld.
[2023-10-08 21:20:53,469] *eet_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -943 > -967, VW_32_M_Mic en VW_43_M_Mar zijn hiervoor gewisseld.
[2023-10-08 21:20:53,569] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -937 > -943, VW_6_V_Len en WO_67_M_Rob zijn hiervoor gewisseld.
[2023-10-08 21:20:54,342] *kook_gang_optimizer* Bij iteratie: 18, Nieuwe oplossing score van: -931 > -937, VW_27 en WO_33 zijn hiervoor gewisseld.
[2023-10-08 21:20:55,222] *eet_gang_optimizer* Bij iteratie: 21, Nieuwe oplossing score van: -925 > -931, VW_3_M_Huu en WO_33_M_Ari zijn hiervoor gewisseld.
[2023-10-08 21:20:55,338] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -919 > -925, WO_27 en WO_50 zijn hiervoor gewisseld.
[2023-10-08 21:20:55,513] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -917 > -919, VW_18 en WO_52 zijn hiervoor gewisseld.
[2023-10-08 21:20:55,685] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -906 > -917, VW_25 en VW_39 zijn hiervoor gewisseld.
[2023-10-08 21:20:56,019] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -883 > -906, VW_70_V_Cha en WO_53_M_Ola zijn hiervoor gewisseld.
[2023-10-08 21:20:56,075] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -864 > -883, VW_12 en VW_13 zijn hiervoor gewisseld.
[2023-10-08 21:20:56,174] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -853 > -864, WO_50_V_Nic en WO_61_V_Ger zijn hiervoor gewisseld.
[2023-10-08 21:20:56,464] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -841 > -853, VW_70_M_Bas en WO_50_V_Nic zijn hiervoor gewisseld.
[2023-10-08 21:20:57,932] *kook_gang_optimizer* Bij iteratie: 36, Nieuwe oplossing score van: -838 > -841, VW_31 en WO_49 zijn hiervoor gewisseld.
[2023-10-08 21:20:58,068] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -826 > -838, VW_33_V_Tru en WO_77_M_Twa zijn hiervoor gewisseld.
[2023-10-08 21:20:59,000] *eet_gang_optimizer* Bij iteratie: 22, Nieuwe oplossing score van: -820 > -826, VW_5_M_Car en WO_61_V_Ger zijn hiervoor gewisseld.
[2023-10-08 21:20:59,175] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -811 > -820, WO_33_M_Ari en WO_38_V_Eek zijn hiervoor gewisseld.
[2023-10-08 21:21:00,271] *kook_gang_optimizer* Bij iteratie: 25, Nieuwe oplossing score van: -809 > -811, VW_35 en WO_7 zijn hiervoor gewisseld.
[2023-10-08 21:21:00,490] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -797 > -809, VW_39_V_Ann en WO_51_V_Dia zijn hiervoor gewisseld.
[2023-10-08 21:21:00,995] *kook_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -788 > -797, VW_51 en WO_45 zijn hiervoor gewisseld.
[2023-10-08 21:21:01,902] *eet_gang_optimizer* Bij iteratie: 22, Nieuwe oplossing score van: -770 > -788, VW_35_V_Ros en VW_72_M_Pie zijn hiervoor gewisseld.
[2023-10-08 21:21:02,169] *kook_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -763 > -770, VW_57 en WO_61 zijn hiervoor gewisseld.
[2023-10-08 21:21:02,319] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -737 > -763, VW_3 en WO_81 zijn hiervoor gewisseld.
[2023-10-08 21:21:03,632] *kook_gang_optimizer* Bij iteratie: 29, Nieuwe oplossing score van: -731 > -737, VW_35 en WO_69 zijn hiervoor gewisseld.
[2023-10-08 21:21:04,195] *eet_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -725 > -731, VW_3_V_Cla en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 21:21:05,076] *kook_gang_optimizer* Bij iteratie: 21, Nieuwe oplossing score van: -719 > -725, WO_32 en WO_50 zijn hiervoor gewisseld.
[2023-10-08 21:21:05,517] *kook_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -700 > -719, VW_23 en WO_77 zijn hiervoor gewisseld.
[2023-10-08 21:21:06,249] *eet_gang_optimizer* Bij iteratie: 17, Nieuwe oplossing score van: -688 > -700, VW_18_M_Mic en WO_71_V_Mar zijn hiervoor gewisseld.
[2023-10-08 21:21:06,381] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -682 > -688, VW_18 en VW_43 zijn hiervoor gewisseld.
