[2023-10-08 20:41:36,020] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1131 > -1133, VW_70 en WO_45 zijn hiervoor gewisseld.
[2023-10-08 20:41:36,213] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1106 > -1131, WO_53 en WO_85 zijn hiervoor gewisseld.
[2023-10-08 20:41:36,552] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -1105 > -1106, VW_27_M_Rob en WO_38_M_Jaa zijn hiervoor gewisseld.
[2023-10-08 20:41:37,368] *kook_gang_optimizer* Bij iteratie: 19, Nieuwe oplossing score van: -1099 > -1105, VW_9 en WO_51 zijn hiervoor gewisseld.
[2023-10-08 20:41:37,858] *eet_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -1087 > -1099, WO_51_V_Dia en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 20:41:38,014] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1065 > -1087, VW_25_M_Joo en VW_35_V_Ros zijn hiervoor gewisseld.
[2023-10-08 20:41:38,531] *kook_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -1053 > -1065, WO_32 en WO_81 zijn hiervoor gewisseld.
[2023-10-08 20:41:39,295] *kook_gang_optimizer* Bij iteratie: 18, Nieuwe oplossing score van: -1038 > -1053, WO_32 en WO_49 zijn hiervoor gewisseld.
[2023-10-08 20:41:39,393] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1014 > -1038, VW_27_M_Luc en WO_32_V_Ing zijn hiervoor gewisseld.
[2023-10-08 20:41:39,487] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1003 > -1014, VW_25 en WO_24 zijn hiervoor gewisseld.
[2023-10-08 20:41:40,179] *kook_gang_optimizer* Bij iteratie: 16, Nieuwe oplossing score van: -995 > -1003, VW_3 en WO_38 zijn hiervoor gewisseld.
[2023-10-08 20:41:40,624] *eet_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -983 > -995, WO_16_M_Fre en WO_85_M_Wil zijn hiervoor gewisseld.
[2023-10-08 20:41:41,320] *eet_gang_optimizer* Bij iteratie: 16, Nieuwe oplossing score van: -975 > -983, VW_9_M_Rob en WO_1_V_Bir zijn hiervoor gewisseld.
[2023-10-08 20:41:41,939] *kook_gang_optimizer* Bij iteratie: 14, Nieuwe oplossing score van: -953 > -975, VW_8 en WO_40 zijn hiervoor gewisseld.
[2023-10-08 20:41:42,033] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -920 > -953, VW_15 en VW_35 zijn hiervoor gewisseld.
[2023-10-08 20:41:42,361] *eet_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -908 > -920, WO_67_M_Rob en WO_77_V_Maa zijn hiervoor gewisseld.
[2023-10-08 20:41:42,458] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -890 > -908, WO_33 en WO_52 zijn hiervoor gewisseld.
[2023-10-08 20:41:42,590] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -885 > -890, VW_25 en VW_31 zijn hiervoor gewisseld.
[2023-10-08 20:41:42,992] *eet_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -879 > -885, VW_3_M_Huu en WO_71_M_Kar zijn hiervoor gewisseld.
[2023-10-08 20:41:43,872] *kook_gang_optimizer* Bij iteratie: 21, Nieuwe oplossing score van: -867 > -879, VW_35 en VW_70 zijn hiervoor gewisseld.
[2023-10-08 20:41:44,159] *kook_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -849 > -867, WO_20 en WO_23 zijn hiervoor gewisseld.
[2023-10-08 20:41:44,331] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -837 > -849, VW_3_M_Huu en VW_3_V_Cla zijn hiervoor gewisseld.
[2023-10-08 20:41:44,570] *kook_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -833 > -837, VW_13 en WO_71 zijn hiervoor gewisseld.
[2023-10-08 20:41:45,584] *eet_gang_optimizer* Bij iteratie: 23, Nieuwe oplossing score van: -826 > -833, WO_26_V_Ver en WO_33_V_Lou zijn hiervoor gewisseld.
[2023-10-08 20:41:45,643] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -808 > -826, VW_70_V_Cha en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 20:41:46,125] *kook_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -799 > -808, VW_27 en WO_85 zijn hiervoor gewisseld.
[2023-10-08 20:41:46,339] *kook_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -796 > -799, VW_51 en WO_36 zijn hiervoor gewisseld.
[2023-10-08 20:41:46,594] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -766 > -796, VW_13_M_Mar en VW_5_M_Car zijn hiervoor gewisseld.
[2023-10-08 20:41:46,765] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -763 > -766, VW_25 en WO_40 zijn hiervoor gewisseld.
[2023-10-08 20:41:47,138] *kook_gang_optimizer* Bij iteratie: 8, Nieuwe oplossing score van: -756 > -763, VW_15 en VW_51 zijn hiervoor gewisseld.
[2023-10-08 20:41:47,741] *kook_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -750 > -756, VW_39 en VW_70 zijn hiervoor gewisseld.
