[2023-10-08 18:50:34,819] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1027 > -1031, WO_32a_V_Gem en WO_79_V_Wie zijn hiervoor gewisseld.
[2023-10-08 18:50:34,876] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1020 > -1027, WO_23 en WO_52 zijn hiervoor gewisseld.
[2023-10-08 18:50:35,090] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1014 > -1020, WO_33_M_Ari en WO_55_V_Han zijn hiervoor gewisseld.
[2023-10-08 18:50:35,185] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1011 > -1014, VW_35 en WO_45 zijn hiervoor gewisseld.
[2023-10-08 18:50:35,279] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -999 > -1011, VW_31 en WO_53 zijn hiervoor gewisseld.
[2023-10-08 18:50:35,455] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -986 > -999, WO_13_M_Lau en WO_71_V_Mar zijn hiervoor gewisseld.
[2023-10-08 18:50:35,588] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -961 > -986, VW_5 en WO_53 zijn hiervoor gewisseld.
[2023-10-08 18:50:35,722] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -923 > -961, VW_62 en WO_49 zijn hiervoor gewisseld.
[2023-10-08 18:50:36,151] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -892 > -923, VW_32_V_Wen en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 18:50:36,209] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -872 > -892, VW_70_M_Bas en WO_41_M_Wim zijn hiervoor gewisseld.
[2023-10-08 18:50:36,423] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -848 > -872, VW_27_M_Rob en VW_3_M_Huu zijn hiervoor gewisseld.
[2023-10-08 18:50:36,518] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -828 > -848, VW_23 en VW_46 zijn hiervoor gewisseld.
[2023-10-08 18:50:36,616] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -816 > -828, VW_13 en VW_43 zijn hiervoor gewisseld.
[2023-10-08 18:50:36,754] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -804 > -816, VW_51_M_Coe en VW_8_V_Let zijn hiervoor gewisseld.
[2023-10-08 18:50:37,279] *kook_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -794 > -804, VW_43 en VW_70 zijn hiervoor gewisseld.
[2023-10-08 18:50:37,575] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -788 > -794, VW_39_V_Ann en WO_55_V_Han zijn hiervoor gewisseld.
[2023-10-08 18:50:37,864] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -774 > -788, VW_25_V_Ano en WO_75_M_Jur zijn hiervoor gewisseld.
[2023-10-08 18:50:38,259] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -769 > -774, VW_39_M_Bar en WO_27_M_Dan zijn hiervoor gewisseld.
[2023-10-08 18:50:38,590] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -751 > -769, VW_57_M_Lou en WO_81_V_Jan zijn hiervoor gewisseld.
[2023-10-08 18:50:39,088] *kook_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -739 > -751, VW_51 en WO_49 zijn hiervoor gewisseld.
[2023-10-08 18:50:39,339] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -730 > -739, VW_32_V_Wen en WO_38_M_Jaa zijn hiervoor gewisseld.
[2023-10-08 18:50:39,807] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -712 > -730, VW_27_M_Rob en VW_68_M_Chr zijn hiervoor gewisseld.
[2023-10-08 18:50:40,446] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -707 > -712, VW_15_M_Ger en WO_81_M_Jan zijn hiervoor gewisseld.
[2023-10-08 18:50:41,011] *kook_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -705 > -707, VW_18 en VW_20 zijn hiervoor gewisseld.
[2023-10-08 18:50:42,257] *eet_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -693 > -705, VW_68_M_Chr en WO_16_M_Fre zijn hiervoor gewisseld.
[2023-10-08 18:50:42,506] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -687 > -693, WO_11_M_Bas en WO_51_M_Jan zijn hiervoor gewisseld.
[2023-10-08 18:50:43,100] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -676 > -687, VW_18_V_Yol en VW_5_V_Jud zijn hiervoor gewisseld.
[2023-10-08 18:50:43,160] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -675 > -676, VW_20_V_Ber en WO_41_M_Wim zijn hiervoor gewisseld.
[2023-10-08 18:50:43,334] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -672 > -675, WO_24_M_Ray en WO_81_M_Jan zijn hiervoor gewisseld.
[2023-10-08 18:50:43,759] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -660 > -672, WO_20 en WO_61 zijn hiervoor gewisseld.
[2023-10-08 18:50:44,050] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -659 > -660, WO_32_M_Ber en WO_77_M_Twa zijn hiervoor gewisseld.
[2023-10-08 18:50:45,400] *eet_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -652 > -659, WO_49_V_Van en WO_50_V_Nic zijn hiervoor gewisseld.
