[2023-10-08 16:54:08,637] *kook_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -1220 > -1232, WO_79 en WO_85 zijn hiervoor gewisselt.
[2023-10-08 16:54:08,754] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1214 > -1220, VW_46_V_Jor en WO_67_V_Jea zijn hiervoor gewisselt.
[2023-10-08 16:54:08,968] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1213 > -1214, WO_16_M_Fre en WO_55_V_Han zijn hiervoor gewisselt.
[2023-10-08 16:54:09,076] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1192 > -1213, VW_9 en WO_16 zijn hiervoor gewisselt.
[2023-10-08 16:54:09,295] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1174 > -1192, VW_27_M_Rob en VW_39_V_Ann zijn hiervoor gewisselt.
[2023-10-08 16:54:10,026] *kook_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -1167 > -1174, VW_13 en VW_32 zijn hiervoor gewisselt.
[2023-10-08 16:54:11,253] *eet_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -1166 > -1167, NEW_3_M_Rob en WO_32_M_Ber zijn hiervoor gewisselt.
[2023-10-08 16:54:11,676] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1165 > -1166, WO_41 en WO_75 zijn hiervoor gewisselt.
[2023-10-08 16:54:11,997] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1145 > -1165, WO_21_V_Pau en WO_33_M_Ari zijn hiervoor gewisselt.
[2023-10-08 16:54:12,709] *kook_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -1138 > -1145, WO_27 en WO_36 zijn hiervoor gewisselt.
[2023-10-08 16:54:13,129] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1132 > -1138, NEW_1_M_Erw en WO_52_M_Ton zijn hiervoor gewisselt.
[2023-10-08 16:54:13,447] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1121 > -1132, VW_51_V_Eli en WO_16_V_Lie zijn hiervoor gewisselt.
[2023-10-08 16:54:14,778] *kook_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -1120 > -1121, WO_16 en WO_53 zijn hiervoor gewisselt.
[2023-10-08 16:54:14,893] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1102 > -1120, VW_3_V_Cla en VW_72_V_Len zijn hiervoor gewisselt.
[2023-10-08 16:54:15,006] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1085 > -1102, WO_24_V_Jea en WO_38_V_Eek zijn hiervoor gewisselt.
[2023-10-08 16:54:15,521] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -1066 > -1085, VW_32_V_Wen en WO_69_M_Han zijn hiervoor gewisselt.
[2023-10-08 16:54:15,639] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1042 > -1066, VW_18_V_Yol en WO_9_V_Ell zijn hiervoor gewisselt.
[2023-10-08 16:54:20,059] *kook_gang_optimizer* Bij iteratie: 42, Nieuwe oplossing score van: -1037 > -1042, VW_13 en VW_43 zijn hiervoor gewisselt.
[2023-10-08 16:54:20,275] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1034 > -1037, VW_13 en WO_40 zijn hiervoor gewisselt.
[2023-10-08 16:54:21,057] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -1033 > -1034, VW_21_M_Koo en VW_70_V_Cha zijn hiervoor gewisselt.
[2023-10-08 16:54:21,275] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1032 > -1033, VW_12_M_Pet en VW_68_V_Mar zijn hiervoor gewisselt.
[2023-10-08 16:54:22,163] *eet_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -1020 > -1032, VW_25_V_Ano en VW_27_M_Rob zijn hiervoor gewisselt.
[2023-10-08 16:54:22,786] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -1003 > -1020, VW_18_M_Mic en WO_53_M_Ola zijn hiervoor gewisselt.
[2023-10-08 16:54:23,300] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -1001 > -1003, VW_21_V_Ale en WO_49_M_Joo zijn hiervoor gewisselt.
[2023-10-08 16:54:23,725] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -998 > -1001, WO_20 en WO_40 zijn hiervoor gewisselt.
[2023-10-08 16:54:24,820] *eet_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -992 > -998, WO_1_V_Bir en WO_13_V_Sim zijn hiervoor gewisselt.
[2023-10-08 16:54:25,031] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -975 > -992, WO_24 en WO_77 zijn hiervoor gewisselt.
