[2023-10-08 22:22:44,721] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1001 > -1013, WO_27_M_Dan en WO_87_V_Mad zijn hiervoor gewisseld.
[2023-10-08 22:22:44,947] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -987 > -1001, VW_43 en WO_77 zijn hiervoor gewisseld.
[2023-10-08 22:22:45,312] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -967 > -987, NEW_3_M_Rob en WO_53_V_Pat zijn hiervoor gewisseld.
[2023-10-08 22:22:45,468] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -964 > -967, VW_72 en WO_45 zijn hiervoor gewisseld.
[2023-10-08 22:22:46,356] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -956 > -964, VW_35 en WO_32 zijn hiervoor gewisseld.
[2023-10-08 22:22:46,418] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -947 > -956, VW_13 en VW_32 zijn hiervoor gewisseld.
[2023-10-08 22:22:47,192] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -941 > -947, VW_72 en WO_52 zijn hiervoor gewisseld.
[2023-10-08 22:22:47,879] *eet_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -934 > -941, VW_21_M_Koo en WO_24_V_Jea zijn hiervoor gewisseld.
[2023-10-08 22:22:48,112] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -916 > -934, VW_5_V_Jud en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 22:22:48,881] *kook_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -909 > -916, VW_51 en WO_36 zijn hiervoor gewisseld.
[2023-10-08 22:22:49,713] *kook_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -908 > -909, WO_20 en WO_32 zijn hiervoor gewisseld.
[2023-10-08 22:22:50,928] *eet_gang_optimizer* Bij iteratie: 20, Nieuwe oplossing score van: -883 > -908, VW_13_M_Mar en VW_32_V_Wen zijn hiervoor gewisseld.
[2023-10-08 22:22:51,330] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -878 > -883, WO_36_M_Hui en WO_38_V_Eek zijn hiervoor gewisseld.
[2023-10-08 22:22:51,709] *kook_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -876 > -878, WO_53 en WO_55 zijn hiervoor gewisseld.
[2023-10-08 22:22:52,170] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -871 > -876, VW_70_M_Bas en WO_40_V_Mar zijn hiervoor gewisseld.
[2023-10-08 22:22:52,398] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -865 > -871, VW_12_V_Sja en WO_9_M_Phi zijn hiervoor gewisseld.
[2023-10-08 22:22:52,801] *kook_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -864 > -865, VW_18 en VW_62 zijn hiervoor gewisseld.
[2023-10-08 22:22:54,432] *kook_gang_optimizer* Bij iteratie: 31, Nieuwe oplossing score van: -853 > -864, VW_39 en WO_75 zijn hiervoor gewisseld.
[2023-10-08 22:22:57,236] *kook_gang_optimizer* Bij iteratie: 55, Nieuwe oplossing score van: -846 > -853, VW_23 en WO_33 zijn hiervoor gewisseld.
[2023-10-08 22:22:58,033] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -840 > -846, VW_72 en WO_50 zijn hiervoor gewisseld.
[2023-10-08 22:22:58,106] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -829 > -840, VW_51_M_Coe en WO_53_V_Pat zijn hiervoor gewisseld.
[2023-10-08 22:22:58,648] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -816 > -829, VW_3 en VW_51 zijn hiervoor gewisseld.
[2023-10-08 22:22:58,759] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -811 > -816, WO_21 en WO_40 zijn hiervoor gewisseld.
