[2023-10-08 22:10:15,665] *kook_gang_optimizer* Bij iteratie: 8, Nieuwe oplossing score van: -997 > -1009, VW_27 en WO_33 zijn hiervoor gewisseld.
[2023-10-08 22:10:16,017] *eet_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -985 > -997, WO_21_V_Pau en WO_32a_M_Too zijn hiervoor gewisseld.
[2023-10-08 22:10:16,081] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -983 > -985, WO_77_V_Maa en WO_79_M_Rob zijn hiervoor gewisseld.
[2023-10-08 22:10:16,177] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -970 > -983, VW_70_M_Bas en WO_53_M_Ola zijn hiervoor gewisseld.
[2023-10-08 22:10:16,565] *kook_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -957 > -970, WO_20 en WO_21 zijn hiervoor gewisseld.
[2023-10-08 22:10:16,878] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -946 > -957, VW_20_M_Wil en WO_75_M_Jur zijn hiervoor gewisseld.
[2023-10-08 22:10:17,228] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -934 > -946, VW_72_M_Pie en WO_71_V_Mar zijn hiervoor gewisseld.
[2023-10-08 22:10:17,724] *eet_gang_optimizer* Bij iteratie: 10, Nieuwe oplossing score van: -903 > -934, WO_16_M_Fre en WO_23_V_Mon zijn hiervoor gewisseld.
[2023-10-08 22:10:18,451] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -897 > -903, WO_27 en WO_55 zijn hiervoor gewisseld.
[2023-10-08 22:10:18,603] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -883 > -897, WO_26_V_Ver en WO_36_M_Hui zijn hiervoor gewisseld.
[2023-10-08 22:10:19,061] *kook_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -871 > -883, VW_32 en WO_20 zijn hiervoor gewisseld.
[2023-10-08 22:10:19,132] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -860 > -871, WO_51_M_Jan en WO_87_V_Mad zijn hiervoor gewisseld.
[2023-10-08 22:10:19,238] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -847 > -860, VW_5_M_Car en WO_85_V_Fem zijn hiervoor gewisseld.
[2023-10-08 22:10:19,596] *kook_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -840 > -847, VW_32 en VW_51 zijn hiervoor gewisseld.
[2023-10-08 22:10:19,668] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -835 > -840, NEW_3_M_Rob en VW_39_V_Ann zijn hiervoor gewisseld.
[2023-10-08 22:10:20,202] *kook_gang_optimizer* Bij iteratie: 11, Nieuwe oplossing score van: -830 > -835, VW_12 en VW_25 zijn hiervoor gewisseld.
[2023-10-08 22:10:20,845] *kook_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -813 > -830, VW_31 en VW_43 zijn hiervoor gewisseld.
[2023-10-08 22:10:21,440] *eet_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -810 > -813, VW_12_M_Pet en WO_45_V_Kar zijn hiervoor gewisseld.
[2023-10-08 22:10:21,547] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -798 > -810, VW_6_V_Len en VW_8_V_Let zijn hiervoor gewisseld.
[2023-10-08 22:10:21,739] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -786 > -798, VW_15 en WO_50 zijn hiervoor gewisseld.
[2023-10-08 22:10:22,475] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -783 > -786, VW_8 en WO_21 zijn hiervoor gewisseld.
[2023-10-08 22:10:22,753] *kook_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -776 > -783, VW_51 en WO_36 zijn hiervoor gewisseld.
[2023-10-08 22:10:23,460] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -759 > -776, WO_27 en WO_53 zijn hiervoor gewisseld.
[2023-10-08 22:10:23,568] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -753 > -759, WO_23_M_Bar en WO_9_V_Ell zijn hiervoor gewisseld.
[2023-10-08 22:10:23,675] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -748 > -753, WO_26 en WO_51 zijn hiervoor gewisseld.
[2023-10-08 22:10:24,823] *eet_gang_optimizer* Bij iteratie: 25, Nieuwe oplossing score van: -747 > -748, VW_68_M_Chr en WO_1_M_And zijn hiervoor gewisseld.
[2023-10-08 22:10:25,014] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -716 > -747, VW_25 en WO_21 zijn hiervoor gewisseld.
[2023-10-08 22:10:27,010] *kook_gang_optimizer* Bij iteratie: 44, Nieuwe oplossing score van: -712 > -716, VW_27 en WO_51 zijn hiervoor gewisseld.
[2023-10-08 22:10:27,080] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -681 > -712, NEW_3_V_Mel en WO_16_V_Lie zijn hiervoor gewisseld.
[2023-10-08 22:10:27,153] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -675 > -681, VW_25 en VW_51 zijn hiervoor gewisseld.
[2023-10-08 22:10:27,391] *kook_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -664 > -675, VW_8 en WO_1 zijn hiervoor gewisseld.
[2023-10-08 22:10:27,709] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -663 > -664, VW_21_M_Koo en WO_87_V_Mad zijn hiervoor gewisseld.
[2023-10-08 22:10:27,856] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -645 > -663, VW_18_V_Yol en WO_51_V_Dia zijn hiervoor gewisseld.
[2023-10-08 22:10:27,919] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -639 > -645, VW_35_V_Ros en WO_55_V_Han zijn hiervoor gewisseld.
[2023-10-08 22:10:27,986] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -626 > -639, VW_39_V_Ann en WO_55_V_Han zijn hiervoor gewisseld.
[2023-10-08 22:10:28,264] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -619 > -626, VW_32_M_Mic en WO_9_M_Phi zijn hiervoor gewisseld.
[2023-10-08 22:10:28,895] *kook_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -616 > -619, VW_51 en WO_53 zijn hiervoor gewisseld.
[2023-10-08 22:10:29,639] *eet_gang_optimizer* Bij iteratie: 16, Nieuwe oplossing score van: -609 > -616, VW_31_V_Jan en VW_9_V_Rie zijn hiervoor gewisseld.
[2023-10-08 22:10:29,947] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -603 > -609, NEW_1_M_Erw en WO_45_V_Kar zijn hiervoor gewisseld.
[2023-10-08 22:10:30,225] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -597 > -603, WO_21_M_Han en WO_32a_V_Gem zijn hiervoor gewisseld.
[2023-10-08 22:10:30,374] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -596 > -597, VW_46_V_Jor en WO_26_V_Ver zijn hiervoor gewisseld.
[2023-10-08 22:10:30,517] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -589 > -596, WO_45 en WO_71 zijn hiervoor gewisseld.
[2023-10-08 22:10:30,902] *kook_gang_optimizer* Bij iteratie: 7, Nieuwe oplossing score van: -571 > -589, VW_51 en WO_21 zijn hiervoor gewisseld.
[2023-10-08 22:10:31,352] *eet_gang_optimizer* Bij iteratie: 9, Nieuwe oplossing score van: -559 > -571, WO_26_V_Ver en WO_27_V_Mar zijn hiervoor gewisseld.
